SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
^NSEI,Nifty 50,IN,3-Nov-95,,1,INE144J01027,10
20MICRONS.NS,20 Microns Limited,EQ,6-Oct-08,5,1,INE144J01027,5
21STCENMGM.NS,21st Century Management Services Limited,EQ,3-May-95,10,1,INE253B01015,10
360ONE.NS,360 ONE WAM LIMITED,EQ,19-Sep-19,1,1,INE466L01038,1
3IINFOLTD.NS,3i Infotech Limited,EQ,22-Oct-21,10,1,INE748C01038,10
3MINDIA.NS,3M India Limited,EQ,13-Aug-04,10,1,INE470A01017,10
3PLAND.NS,3P Land Holdings Limited,EQ,19-Jul-95,2,1,INE105C01023,2
4THDIM.NS,Fourth Dimension Solutions Limited,BE,6-Sep-22,2,1,INE382T01030,2
5PAISA.NS,5Paisa Capital Limited,EQ,16-Nov-17,10,1,INE618L01018,10
63MOONS.NS,63 moons technologies limited,EQ,20-Jun-05,2,1,INE111B01023,2
A2ZINFRA.NS,A2Z Infra Engineering Limited,EQ,23-Dec-10,10,1,INE619I01012,10
AAATECH.NS,AAA Technologies Limited,EQ,28-Nov-22,10,1,INE0D0U01013,10
AAKASH.NS,Aakash Exploration Services Limited,EQ,29-Sep-20,1,1,INE087Z01024,1
AAREYDRUGS.NS,Aarey Drugs & Pharmaceuticals Limited,EQ,6-Aug-21,10,1,INE198H01019,10
AARON.NS,Aaron Industries Limited,EQ,6-Nov-20,10,1,INE721Z01010,10
AARTIDRUGS.NS,Aarti Drugs Limited,EQ,19-Sep-03,10,1,INE767A01016,10
AARTIIND.NS,Aarti Industries Limited,EQ,8-Feb-95,5,1,INE769A01020,5
AARTIPHARM.NS,Aarti Pharmalabs Limited,EQ,30-Jan-23,5,1,INE0LRU01027,5
AARTISURF.NS,Aarti Surfactants Limited,EQ,14-Jul-20,10,1,INE09EO01013,10
AARVEEDEN.NS,Aarvee Denims & Exports Limited,EQ,21-Nov-06,10,1,INE273D01019,10
AARVI.NS,Aarvi Encon Limited,EQ,24-Jun-20,10,1,INE754X01016,10
AAVAS.NS,Aavas Financiers Limited,EQ,8-Oct-18,10,1,INE216P01012,10
ABAN.NS,Aban Offshore Limited,EQ,29-Mar-95,2,1,INE421A01028,2
ABB.NS,ABB India Limited,EQ,8-Feb-95,2,1,INE117A01022,2
ABBOTINDIA.NS,Abbott India Limited,EQ,8-Jan-10,10,1,INE358A01014,10
ABCAPITAL.NS,Aditya Birla Capital Limited,EQ,1-Sep-17,10,1,INE674K01013,10
ABFRL.NS,Aditya Birla Fashion and Retail Limited,EQ,17-Jul-13,10,1,INE647O01011,10
ABMINTLLTD.NS,ABM International Limited,BE,9-Sep-21,10,1,INE251C01025,10
ABSLAMC.NS,Aditya Birla Sun Life AMC Limited,EQ,11-Oct-21,5,1,INE404A01024,5
ACC.NS,ACC Limited,EQ,20-Nov-96,10,1,INE012A01025,10
ACCELYA.NS,Accelya Solutions India Limited,EQ,1-Dec-99,10,1,INE793A01012,10
ACCURACY.NS,Accuracy Shipping Limited,EQ,11-Dec-20,1,1,INE648Z01023,1
ACE.NS,Action Construction Equipment Limited,EQ,26-Sep-06,2,1,INE731H01025,2
ACEINTEG.NS,Ace Integrated Solutions Limited,BE,4-Nov-22,10,1,INE543V01017,10
ACI.NS,Archean Chemical Industries Limited,EQ,21-Nov-22,2,1,INE128X01021,2
ADANIENT.NS,Adani Enterprises Limited,EQ,4-Jun-97,1,1,INE423A01024,1
ADANIGREEN.NS,Adani Green Energy Limited,EQ,18-Jun-18,10,1,INE364U01010,10
ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,EQ,27-Nov-07,2,1,INE742F01042,2
ADANIPOWER.NS,Adani Power Limited,EQ,20-Aug-09,10,1,INE814H01011,10
ADANITRANS.NS,Adani Transmission Limited,EQ,31-Jul-15,10,1,INE931S01010,10
ADFFOODS.NS,ADF Foods Limited,EQ,15-Sep-10,10,1,INE982B01019,10
ADL.NS,Archidply Decor Limited,BE,1-Oct-20,10,1,INE0CHO01012,10
ADORWELD.NS,Ador Welding Limited,EQ,10-May-95,10,1,INE045A01017,10
ADROITINFO.NS,Adroit Infotech Limited,EQ,13-Aug-97,10,1,INE737B01033,10
