,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,SYMBOL1
0,^NSEI,Nifty 50,IN,3-Nov-95,,1,INE144J01027,10,^NSEI
1,20MICRONS.NS,20 Microns Limited,EQ,6-Oct-08,5.0,1,INE144J01027,5,20MICRONS
2,21STCENMGM.NS,21st Century Management Services Limited,EQ,3-May-95,10.0,1,INE253B01015,10,21STCENMGM
3,360ONE.NS,360 ONE WAM LIMITED,EQ,19-Sep-19,1.0,1,INE466L01038,1,360ONE
4,3IINFOLTD.NS,3i Infotech Limited,EQ,22-Oct-21,10.0,1,INE748C01038,10,3IINFOLTD
5,3MINDIA.NS,3M India Limited,EQ,13-Aug-04,10.0,1,INE470A01017,10,3MINDIA
6,3PLAND.NS,3P Land Holdings Limited,EQ,19-Jul-95,2.0,1,INE105C01023,2,3PLAND
7,4THDIM.NS,Fourth Dimension Solutions Limited,BE,6-Sep-22,2.0,1,INE382T01030,2,4THDIM
8,5PAISA.NS,5Paisa Capital Limited,EQ,16-Nov-17,10.0,1,INE618L01018,10,5PAISA
9,63MOONS.NS,63 moons technologies limited,EQ,20-Jun-05,2.0,1,INE111B01023,2,63MOONS
10,A2ZINFRA.NS,A2Z Infra Engineering Limited,EQ,23-Dec-10,10.0,1,INE619I01012,10,A2ZINFRA
11,AAATECH.NS,AAA Technologies Limited,EQ,28-Nov-22,10.0,1,INE0D0U01013,10,AAATECH
12,AAKASH.NS,Aakash Exploration Services Limited,EQ,29-Sep-20,1.0,1,INE087Z01024,1,AAKASH
13,AAREYDRUGS.NS,Aarey Drugs & Pharmaceuticals Limited,EQ,6-Aug-21,10.0,1,INE198H01019,10,AAREYDRUGS
14,AARON.NS,Aaron Industries Limited,EQ,6-Nov-20,10.0,1,INE721Z01010,10,AARON
15,AARTIDRUGS.NS,Aarti Drugs Limited,EQ,19-Sep-03,10.0,1,INE767A01016,10,AARTIDRUGS
16,AARTIIND.NS,Aarti Industries Limited,EQ,8-Feb-95,5.0,1,INE769A01020,5,AARTIIND
17,AARTIPHARM.NS,Aarti Pharmalabs Limited,EQ,30-Jan-23,5.0,1,INE0LRU01027,5,AARTIPHARM
18,AARTISURF.NS,Aarti Surfactants Limited,EQ,14-Jul-20,10.0,1,INE09EO01013,10,AARTISURF
19,AARVEEDEN.NS,Aarvee Denims & Exports Limited,EQ,21-Nov-06,10.0,1,INE273D01019,10,AARVEEDEN
20,AARVI.NS,Aarvi Encon Limited,EQ,24-Jun-20,10.0,1,INE754X01016,10,AARVI
21,AAVAS.NS,Aavas Financiers Limited,EQ,8-Oct-18,10.0,1,INE216P01012,10,AAVAS
22,ABAN.NS,Aban Offshore Limited,EQ,29-Mar-95,2.0,1,INE421A01028,2,ABAN
23,ABB.NS,ABB India Limited,EQ,8-Feb-95,2.0,1,INE117A01022,2,ABB
24,ABBOTINDIA.NS,Abbott India Limited,EQ,8-Jan-10,10.0,1,INE358A01014,10,ABBOTINDIA
25,ABCAPITAL.NS,Aditya Birla Capital Limited,EQ,1-Sep-17,10.0,1,INE674K01013,10,ABCAPITAL
26,ABFRL.NS,Aditya Birla Fashion and Retail Limited,EQ,17-Jul-13,10.0,1,INE647O01011,10,ABFRL
27,ABMINTLLTD.NS,ABM International Limited,BE,9-Sep-21,10.0,1,INE251C01025,10,ABMINTLLTD
28,ABSLAMC.NS,Aditya Birla Sun Life AMC Limited,EQ,11-Oct-21,5.0,1,INE404A01024,5,ABSLAMC
29,ACC.NS,ACC Limited,EQ,20-Nov-96,10.0,1,INE012A01025,10,ACC
30,ACCELYA.NS,Accelya Solutions India Limited,EQ,1-Dec-99,10.0,1,INE793A01012,10,ACCELYA
31,ACCURACY.NS,Accuracy Shipping Limited,EQ,11-Dec-20,1.0,1,INE648Z01023,1,ACCURACY
32,ACE.NS,Action Construction Equipment Limited,EQ,26-Sep-06,2.0,1,INE731H01025,2,ACE
33,ACEINTEG.NS,Ace Integrated Solutions Limited,BE,4-Nov-22,10.0,1,INE543V01017,10,ACEINTEG
34,ACI.NS,Archean Chemical Industries Limited,EQ,21-Nov-22,2.0,1,INE128X01021,2,ACI
35,ADANIENT.NS,Adani Enterprises Limited,EQ,4-Jun-97,1.0,1,INE423A01024,1,ADANIENT
36,ADANIGREEN.NS,Adani Green Energy Limited,EQ,18-Jun-18,10.0,1,INE364U01010,10,ADANIGREEN
37,ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,EQ,27-Nov-07,2.0,1,INE742F01042,2,ADANIPORTS
38,ADANIPOWER.NS,Adani Power Limited,EQ,20-Aug-09,10.0,1,INE814H01011,10,ADANIPOWER
39,ADANITRANS.NS,Adani Transmission Limited,EQ,31-Jul-15,10.0,1,INE931S01010,10,ADANITRANS
40,ADFFOODS.NS,ADF Foods Limited,EQ,15-Sep-10,10.0,1,INE982B01019,10,ADFFOODS
41,ADL.NS,Archidply Decor Limited,BE,1-Oct-20,10.0,1,INE0CHO01012,10,ADL
42,ADORWELD.NS,Ador Welding Limited,EQ,10-May-95,10.0,1,INE045A01017,10,ADORWELD
43,ADROITINFO.NS,Adroit Infotech Limited,EQ,13-Aug-97,10.0,1,INE737B01033,10,ADROITINFO
44,ADSL.NS,Allied Digital Services Limited,EQ,25-Jul-07,5.0,1,INE102I01027,5,ADSL
45,ADVANIHOTR.NS,Advani Hotels & Resorts (India) Limited,EQ,25-Jun-07,2.0,1,INE199C01026,2,ADVANIHOTR
46,ADVENZYMES.NS,Advanced Enzyme Technologies Limited,EQ,1-Aug-16,2.0,1,INE837H01020,2,ADVENZYMES
47,AEGISCHEM.NS,Aegis Logistics Limited,EQ,3-Apr-96,1.0,1,INE208C01025,1,AEGISCHEM
48,AETHER.NS,Aether Industries Limited,EQ,3-Jun-22,10.0,1,INE0BWX01014,10,AETHER
49,AFFLE.NS,Affle (India) Limited,EQ,8-Aug-19,2.0,1,INE00WC01027,2,AFFLE
50,AGARIND.NS,Agarwal Industrial Corporation Limited,EQ,26-May-14,10.0,1,INE204E01012,10,AGARIND
51,AGI.NS,AGI Greenpac Limited,EQ,31-May-00,2.0,1,INE415A01038,2,AGI
52,AGRITECH.NS,Agri-Tech (India) Limited,EQ,28-Jan-14,10.0,1,INE449G01018,10,AGRITECH
53,AGROPHOS.NS,Agro Phos India Limited,EQ,8-Mar-19,10.0,1,INE740V01019,10,AGROPHOS
54,AGSTRA.NS,AGS Transact Technologies Limited,EQ,31-Jan-22,10.0,1,INE583L01014,10,AGSTRA
55,AHL.NS,Abans Holdings Limited,EQ,23-Dec-22,2.0,1,INE00ZE01026,2,AHL
56,AHLADA.NS,Ahlada Engineers Limited,EQ,28-Jan-21,10.0,1,INE00PV01013,10,AHLADA
57,AHLEAST.NS,Asian Hotels (East) Limited,EQ,11-Aug-10,10.0,1,INE926K01017,10,AHLEAST
58,AHLUCONT.NS,Ahluwalia Contracts (India) Limited,EQ,14-Dec-09,2.0,1,INE758C01029,2,AHLUCONT
