Ticker,Name,Exchange,Category
BHARTIARTL.NS,Bharti Airtel Limited,NSI,Wireless Communications
ASHOKLEY.NS,Ashok Leyland Limited,NSI,Auto Manufacturers - Major
AUROPHARMA.NS,Aurobindo Pharma Limited,NSI,Drugs - Generic
AREXMIS.BO,Arex Industries Ltd.,BSE,
SANWARIA.NS,Sanwaria Agro Oils Limited,NSI,Farm Products
ALMONDZ.NS,Almondz Global Securities Limited,NSI,Investment Brokerage - National
ADINATH.BO,Adinath Textiles Ltd,BSE,
SBIN.NS,State Bank of India,NSI,Money Center Banks
BPCL.NS,Bharat Petroleum Corporation Limited,NSI,Oil & Gas Refining & Marketing
MBECL.NS,McNally Bharat Engineering Company Limited,NSI,General Contractors
MAHABANK.NS,Bank of Maharashtra,NSI,Money Center Banks
DBCORP.BO,D. B. Corp Limited,BSE,
BOSCHLTD.NS,Bosch Limited,NSI,Auto Parts
BHEL.BO,Bharat Heavy Electricals Ltd.,BSE,
IDBI.NS,IDBI Bank Limited,NSI,Money Center Banks
IRB.BO,IRB Infrastructure Developers Limited,BSE,
DABUR.NS,Dabur India Limited,NSI,Personal Products
TCIDEVELOP.NS,TCI Developers Limited,NSI,Real Estate Development
NDTV.BO,New Delhi Television Limited,BSE,
ISHITADR.BO,Ishita Drugs & Industries Ltd,BSE,
GDL.BO,Gateway Distriparks Limited,BSE,
DRREDDY.NS,Dr. Reddy's Laboratories Limited,NSI,Drugs - Generic
DPSCLTD.NS,India Power Corporation Limited,NSI,Electric Utilities
DLF.BO,DLF Limited,BSE,
DEEPAKSP.BO,Deepak Spinners Limited,BSE,
DANLAW.BO,Danlaw Technologies India Limited,BSE,
VIPULDYE.BO,Vipul Dye Chem Ltd.,BSE,
VADIDAI.BO,Vadilal Dairy International Ltd.,BSE,
TRIMURTHI.BO,Trimurthi Limited,BSE,
THAKDEV.BO,Thakkers Developers Ltd,BSE,
TATAMTRDVR.BO,TATA MOTORS LTD - DVR,BSE,
SUPDF.BO,SUPERSTAR DISTILLERIES & FOODS,BSE,
SHRIDINE.BO,Shri Dinesh Mills Limited,BSE,
RADHEDE.BO,Radhe Developers (India) Ltd.,BSE,
PROTODEV.BO,Proto Developers & Technologies Limited,BSE,
PRABHAT.NS,Prabhat Dairy Limited,NSI,Food - Major Diversified
NDMETAL.BO,ND Metal Industries Ltd,BSE,
MDRNSUT-B.BO,MODERN DENIM LTD.,BSE,
MANGALAM.BO,Mangalam Drugs & Organics Limited,BSE,
MAHLIFE.NS,Mahindra Lifespace Developers Limited,NSI,Real Estate Development
LPDC.NS,Landmark Property Development Company Limited,NSI,Real Estate Development
KAUSHALYA.NS,Kaushalya Infrastructure Development Corporation Limited,NSI,General Contractors
IRB.NS,IRB Infrastructure Developers Limited,NSI,Heavy Construction
INTERDIGI.BO,Interworld Digital Ltd.,BSE,
INDTONER.BO,Indian Toners & Developers Ltd.,BSE,
INDLEASE.BO,India Lease Development Limited,BSE,
HDIL.NS,Housing Development and Infrastructure Limited,NSI,Real Estate Development
HDIL.BO,Housing Development & Infrastructure Limited,BSE,
HDFC.NS,Housing Development Finance Corporation Limited,NSI,Mortgage Investment
HDFC.BO,Housing Development Finance Corporation Limited,BSE,
GOLKUNDIA.BO,Golkunda Diamonds & Jewellery Limited,BSE,
GOENKA.NS,Goenka Diamond and Jewels Limited,NSI,Jewelry Stores
ESSDEE.BO,Ess Dee Aluminium Limited,BSE,
ENERGYDEV.NS,Energy Development Company Limited,NSI,Electric Utilities
EIDPARRY.BO,E.I.D.- Parry (India) Limited,BSE,
KELENRG.BO,Keltech Energies Limited,BSE,
SCHNEIDER.NS,Schneider Electric Infrastructure Limited,NSI,Diversified Machinery
EASTSILK.BO,Eastern Silk Industries Ltd.,BSE,
TATAELXSI.NS,Tata Elxsi Limited,NSI,Technical & System Software
