Symbol,Current Price,1-Year Return,2-Year Return,3-Year Return,4-Year Return,5-Year Return
20microns,112.05000305175781,23.131871485448148,68.11702998724009,251.80534288768266,214.75965866537962,
21stcenmgm,20.75,-17.16566613981711,-3.712293574863569,93.02325581395348,20.28985507246377,-48.18976180953621
360one,503.95001220703125,22.97837408437958,52.78156825283746,112.0443903707437,,
3iinfoltd,34.349998474121094,-17.427885254635637,-60.74285888671875,32.11537874661959,5.692302997295673,-3.23944091796875
3mindia,28267.150390625,23.3947673449517,17.252158580657873,31.276367011934873,29.37769041818241,
3pland,19.799999237060547,26.114646354172898,18.91891706126255,155.4838611233619,138.5542021934279,
4thdim,12.949999809265137,-52.56410193709774,-52.56410193709774,-17.51592377967499,-58.22580706688666,
5paisa,445.29998779296875,59.72023217003852,-13.052823085886821,15.918259760004647,103.0088786880739,101.82775995321536
63moons,228.0,30.322951687419753,109.54431477319444,224.14166672270696,137.89843492648131,244.46599408131652
a2zinfra,6.800000190734863,-39.013449117667335,18.26087288234545,51.11111534966363,-37.89954055541471,
aaatech,53.79999923706055,-51.53153221886437,2.4926250075125256,,,
aakash,5.849999904632568,-57.29927017461498,-74.51535646231406,74.62686779611126,298.8638157318297,
aareydrugs,38.0,7.801418439716312,,,,
aaron,234.89999389648438,79.86216149967017,754.181795987216,933.0924285143504,966.1337292850776,
aartidrugs,598.9500122070312,42.84522529076855,-16.321742028170856,67.44324098630672,368.55962051395727,335.3347847158991
aartiind,471.5,-37.677614485795644,-46.87936587419048,5.661486031516028,18.1590931443291,58.750522228919266
aartipharm,471.5,,,,,
aartisurf,604.2000122070312,-16.477745118073578,-59.14281834608537,63.36258278623833,,
aarveeden,23.200000762939453,17.76649677386998,-9.727626170366156,116.82244090182654,23.076924633624643,
aarvi,126.8499984741211,27.295530889859947,74.79661796347355,307.33637409865725,281.5285734823315,
aavas,1559.6500244140625,-31.69466101519128,-42.84693172239343,19.825603385706838,4.209400926891005,
aban,40.099998474121094,-8.863639831542969,-20.11952616597322,55.42635527104681,7.795692612110823,-65.28138660249256
abb,4408.0,61.574699257291286,159.93630575999384,389.61162539513634,198.05210605570872,278.20135143669614
abbotindia,24084.69921875,23.979541720627317,37.394064810503544,62.263462724000426,183.87344652329233,
abcapital,189.9499969482422,84.23860306450065,60.09270501931847,214.226624567218,112.2346334617231,30.549826081266108
abfrl,218.10000610351562,-18.51297923516209,-0.13735705190126335,94.03914870348147,9.487956548605869,25.851126522125817
abmintlltd,46.150001525878906,-35.90277565850152,-64.36293318464949,207.6666768391927,163.71429443359375,
abslamc,408.45001220703125,-4.052149284790432,,,,
acc,1971.25,-9.998858577787924,-15.670254804245188,44.00465138676602,32.845359698475995,34.90598673887169
accelya,1352.9000244140625,49.814522197216995,-0.9806730642173606,45.6524678943681,72.11038463396002,44.252883848644906
accuracy,10.050000190734863,-49.8503007405157,11.765475735564955,160.7387721720167,100.00136646803219,
ace,715.0,224.11603817657615,191.26064654833226,1104.6931837668308,728.4525989212385,380.8372094550553
aceinteg,34.099998474121094,10.894303980881606,114.4654043537213,135.98615172476786,20.282179948081097,
aci,34.099998474121094,,,,,
adanient,2473.550048828125,-2.9485582368845176,76.47415586941207,1379.4930682948643,1694.6792630843252,1883.593204908735
adanigreen,1052.449951171875,-49.86423515376196,7.365463011667941,202.99407879043733,2043.4826555576876,1481.4423785275487
adaniports,761.4500122070312,0.10517159893408139,11.969711914595834,141.96059188777446,90.19019252500652,92.97766608897307
adanipower,267.70001220703125,-14.322291007096643,166.50076688898878,659.432658743351,325.25815561964896,796.8174498691596
adanitrans,789.2999877929688,-73.65575374432876,-18.08841762236263,224.08128840188573,251.34654317269525,374.1964567523558
adffoods,1071.800048828125,49.33816784148923,20.908515986128865,252.92267951470944,285.04331371430106,341.11077932211424
adl,80.30000305175781,32.947021561502076,126.83615703534672,,,
adorweld,1227.550048828125,59.44278606334116,74.07118939013053,371.7717106990026,279.21118481977214,
adroitinfo,18.100000381469727,22.297298298690148,110.4651113791749,74.87922429331815,79.2079178004532,
adsl,135.14999389648438,-4.991216944474957,112.10713755021631,685.1072158709338,936.1080804124633,810.8269701114639
advanihotr,88.5999984741211,11.868689252629492,20.873117033241883,118.76542833116319,59.73193650736886,
advenzymes,332.54998779296875,17.967362537469015,-16.422290471441414,103.63451326259477,111.31498174433693,55.38083783325182
aegischem,380.8500061035156,45.44586489448331,20.626288149847827,98.9608821007406,83.25847158087521,63.14423540566688
aether,1060.300048828125,20.825031460005054,,,,
affle,1119.0999755859375,7.621291711368651,28.412258101205644,214.1245003395601,,
agarind,821.9000244140625,79.61101692558479,134.3072464151418,886.2855976207142,591.2965921223511,
agi,636.9500122070312,160.67116689049556,130.27837966448098,1043.536810561109,871.0260205528382,600.5838876545776
agritech,119.30000305175781,44.95747099393301,163.35541956070688,302.36089236641754,120.31394217919453,
agrophos,34.75,16.220737268718825,106.23144933702939,217.35160370137118,-60.51136363636363,
agstra,60.099998474121094,-28.195937078366555,,,,
ahl,60.099998474121094,,,,,
ahlada,115.5999984741211,29.30648378194713,68.51312105747415,184.23458026131632,69.00983847052457,
ahleast,123.44999694824219,-20.320570479108575,2.732315862019487,32.694372221240414,0.5473331884648479,
ahlucont,703.8499755859375,48.96295779596561,82.60473558057345,232.5537424443218,114.76104880185459,119.15293794800972
aiaeng,3464.550048828125,45.91572035851093,72.01033822254452,99.14836927135016,102.08050056188466,109.04100936241949
airan,19.700000762939453,-3.431367003335523,-26.217227715275005,52.71318872475997,-12.44444105360243,-46.21894570435212
airolam,113.4000015258789,77.18750238418579,205.24898214844973,440.00000726609,249.46070526873746,
ajantpharm,1684.050048828125,31.597258192123057,20.15785606999877,76.73830665447223,185.80904026024945,
ajmera,399.5,57.99880971189162,29.621934506089527,427.0001180543555,166.73135194923333,
ajooni,4.099999904632568,-48.81398517506769,-60.84049856671043,77.95139241009322,57.63167217950416,
akash,25.950000762939453,-54.03011441591309,-87.66501260582218,-81.81075361349744,-59.71335914232194,
akg,29.75,-32.99549779821524,-69.58077804531798,26.25994694960212,37.971014492753625,
aki,29.75,,,,,
akshar,7.5,-22.680410850768943,,,,
aksharchem,239.8000030517578,-18.463108440958553,-45.77358134318372,9.187282318929995,-7.9440560177884825,
akshoptfbr,9.649999618530273,3.2085478590471457,-15.720525945147484,94.94949475488738,-16.81035085183667,
akzoindia,2781.050048828125,43.12807076201702,26.79249470704565,58.5912238673563,69.69877047440265,
alankit,10.600000381469727,-8.620689371678274,-48.154165394415564,-36.889007749402666,-62.04513535744599,-54.764165264608465
albertdavd,771.6500244140625,35.03368762454424,33.85111159388804,92.97227992679618,110.59049457987471,
alembicltd,80.69999694824219,14.79373178522832,-37.94361254838516,-3.0840366663139123,91.13546102001277,
alicon,874.8499755859375,24.048206392901452,6.630503086052614,233.14925942578842,67.90503023652242,49.9613576131884
alkali,105.9000015258789,31.308120920367,21.80265854960458,135.82495857928652,185.15662837227845,
alkem,3935.5,25.50426532727418,17.096070043461175,63.81973638732732,128.92641887784956,90.49775932023161
alkylamine,2415.25,-13.708710690279618,-39.987826333191826,168.9079869732907,673.5478649095376,859.8469928720581
allcargo,303.5,4.709330208400783,69.79020979020979,220.38555458909187,229.89349294574865,176.37180251665632
allsec,585.5999755859375,34.89978515372219,41.29391435068804,216.80315902721367,120.44657890286672,148.89657108199071
almondz,97.9000015258789,21.99377137181172,57.395498914865826,798.1651830468548,489.75903178389603,
alokinds,15.449999809265137,-18.897635548414318,-39.41176545386221,-46.354165907811215,390.4761695717654,251.1363516908049
alpa,77.80000305175781,24.380501999529553,55.134597576454055,286.1042408170154,338.3098763479313,197.514356354436
alphageo,290.20001220703125,3.4581148688168453,-4.8756596941503965,68.94407399853463,-14.270599413263216,-52.40755099086935
alpsindus,1.7999999523162842,-40.0000015894572,-43.7500023283064,63.636355754757886,124.99999068677438,
amarajabat,634.6500244140625,32.91099987729058,-10.949586486741788,-8.028211470334226,2.6824149614989308,-17.467318645449154
amber,2359.35009765625,-0.4451582396820475,-21.67092655745114,53.513570185265856,185.5782707039598,137.4041362285201
ambicaagar,34.70000076293945,53.20088895079235,80.72916345877793,175.3968231141583,175.3968231141583,
ambikco,1584.8499755859375,-4.578845668628018,15.41796469851213,147.60610175122446,63.007572209255656,36.70966169255336
ambujacem,460.8999938964844,24.282051047838742,14.566246055585841,141.1951534418422,141.08007362288123,121.62485634630704
amdind,70.5999984741211,55.50659934202356,125.9199951171875,395.4385857833059,296.629221911022,
amiorg,1159.949951171875,17.219944973063544,,,,
amjland,30.149999618530273,17.543859910037092,-9.045623905238365,54.36784729702412,85.10587744844894,15.229264370505716
amrutanjan,647.9500122070312,-16.7426903685151,-5.2059851953289185,63.92083140000355,122.78792854383944,155.9340753588235
anandrathi,1235.0999755859375,94.56521728679496,,,,
anantraj,198.9499969482422,163.8594070584445,193.23550860108347,2055.0144580682963,569.7904475501143,370.35268820966905
andhrapap,431.1000061035156,26.85008043583968,78.36663224872085,91.83267737052218,2.3122492944175113,
andhrsugar,109.0999984741211,-17.87731015299218,20.842048635781936,120.93385791127238,605.300137595612,661.6181080334718
andrewyu,25.100000381469727,23.950619167751736,,,,
angelone,1478.6500244140625,9.957242938394684,13.237093668441787,,,
anikinds,34.0,19.298245614035086,44.37367771330678,125.91361839936192,243.4343566676576,-7.230563207501412
ankitmetal,2.5999999046325684,-60.000001467191254,36.842101960961465,271.4285641300434,477.77777189089915,
anmol,55.04999923706055,74.65101027148371,62.485234656230816,,,
antgraphic,0.6499999761581421,-35.00000238418579,-18.750004190951525,29.999995231628418,-27.777778513637607,
anup,2175.550048828125,153.04449535657167,118.62985940829338,382.0671583287852,374.122785285867,
anuras,926.0,23.738896266411636,20.995803949522344,,,
aparinds,3622.300048828125,245.50743652000415,499.32828269567517,1092.6232218618986,573.2254339745155,529.7096202458581
apcl,188.25,-17.015651340076126,-60.206116680279486,39.059880225347044,23.572337405517708,
apcotexind,504.20001220703125,-7.06846861096446,55.323109841740205,319.3083932418555,141.7068264778691,
apex,217.3000030517578,-31.63441910364829,-41.05275484207771,-9.357002523763997,-11.976764195187585,-51.72057929719187
aplapollo,1591.6500244140625,74.55174283371542,96.19722951174884,781.3611255830726,923.7496701115737,920.9004013510953
aplltd,770.1500244140625,10.013575865074507,-18.58879234523652,-21.486493684143458,51.42483050846949,36.75189091181019
apollo,55.900001525878906,302.1582953956191,386.16236177664405,447.36089153429026,442.82731504337727,334.3501446650658
apollohosp,4996.75,21.115713634936395,27.581682788590246,233.84123908254654,282.1424163636448,426.7852790264606
apollopipe,729.2999877929688,55.33546065877929,125.59158823065191,592.8119214536649,,
apollotyre,424.75,100.07065185790309,87.27953892622665,291.6619572773203,144.68122080357014,59.844159441649424
apolsinhot,1361.199951171875,124.8430618233481,76.19117404822407,193.5867231647901,55.83669454228828,
aptecht,332.6499938964844,95.47113766622137,78.60402356858222,337.54051036207267,269.51666151814123,114.85929387387546
aptus,263.1499938964844,-3.1824850202249135,,,,
archidply,70.94999694824219,8.819018817691864,111.79103566639459,173.41038482576684,133.77263939528942,
archies,26.549999237060547,53.025928837538636,-4.324327073655687,120.33194038847073,31.435634823199177,
arenterp,31.600000381469727,-16.069059493266373,86.43067232517153,184.68467833769247,216.0000038146973,
aries,171.3000030517578,41.10378986712096,-1.6408413264320902,191.1697158847645,203.19833340152806,66.03890371272679
arihantcap,51.79999923706055,-29.66734804634155,61.6424559166429,,,
arihantsup,172.3000030517578,1.5321191221403594,87.28261201278023,637.9014999438415,280.3143022706157,170.52625192342487
armanfin,2191.5,68.72618402378382,218.76363636363635,329.6637687382003,431.40336865190216,
arogranite,43.79999923706055,-4.262296749594433,-35.49337518001831,90.84966353373929,2.8186894764460733,
arrowgreen,333.25,372.0255059526029,120.5492961871206,671.4120234134105,362.43889032225553,
arshiya,4.25,-67.80302983779661,-86.29032258064517,-57.71144358864697,-72.03947333335215,
artemismed,125.25,190.26650190239786,284.2024719707499,598.3551922476671,,
artnirman,49.849998474121094,-35.88424633553557,55.78124523162842,89.90475609188988,117.21131510645,
arvee,112.0999984741211,40.12499809265137,170.1204782508942,461.2014835209378,89.99999741376456,
arvind,138.0500030517578,53.55951135553462,31.66428713475956,328.72670739389014,140.29900705704836,-7.315105968532451
arvindfasn,320.79998779296875,11.272980012520359,62.7187409203817,164.9678635558324,-51.97964319215198,
arvsmart,377.25,99.39218080600763,183.43349564281917,393.78271265114364,291.00878262942746,
asahiindia,536.5499877929688,-6.402095456961404,48.49596658060124,199.589160503279,162.3627641425354,64.547961923587
asahisong,224.9499969482422,-24.093135712753547,-34.57794200436333,10.389893473316212,70.78928826380539,
asal,393.1499938964844,-16.96061173094513,489.4303026753669,1969.2104941920231,819.6491085297881,
asalcbr,466.95001220703125,7.952843690872411,-0.12254083622942374,96.95375292933126,,
ashapurmin,169.64999389648438,54.79014257152783,21.93568135189998,319.05078146716255,833.3926173739528,
ashiana,207.10000610351562,54.09227344387024,28.05970084474548,237.41146293565615,81.50408345560086,
ashimasyn,13.199999809265137,-3.6496350873074928,-34.328360404240236,129.56521407417628,40.425535584532376,
ashoka,103.6500015258789,40.44715073139839,-0.718390794097918,79.01554195909934,-22.184681756295827,-28.933838060785323
ashokley,180.35000610351562,22.023005669600145,46.52761725994368,247.25230429554918,134.97797519727095,65.70588504969108
asianene,123.0,42.94014600559318,,,,
