TICKER,NAME,SERIES,SYMBOL,SLUG
^NSEI,Nifty 50,IN,^NSEI,^nsei
20MICRONS.NS,20 Microns Limited,EQ,20MICRONS,20microns
21STCENMGM.NS,21st Century Management Services Limited,EQ,21STCENMGM,21stcenmgm
360ONE.NS,360 ONE WAM LIMITED,EQ,360ONE,360one
3IINFOLTD.NS,3i Infotech Limited,EQ,3IINFOLTD,3iinfoltd
3MINDIA.NS,3M India Limited,EQ,3MINDIA,3mindia
3PLAND.NS,3P Land Holdings Limited,EQ,3PLAND,3pland
4THDIM.NS,Fourth Dimension Solutions Limited,BE,4THDIM,4thdim
5PAISA.NS,5Paisa Capital Limited,EQ,5PAISA,5paisa
63MOONS.NS,63 moons technologies limited,EQ,63MOONS,63moons
A2ZINFRA.NS,A2Z Infra Engineering Limited,EQ,A2ZINFRA,a2zinfra
AAATECH.NS,AAA Technologies Limited,EQ,AAATECH,aaatech
AAKASH.NS,Aakash Exploration Services Limited,EQ,AAKASH,aakash
AAREYDRUGS.NS,Aarey Drugs & Pharmaceuticals Limited,EQ,AAREYDRUGS,aareydrugs
AARON.NS,Aaron Industries Limited,EQ,AARON,aaron
AARTIDRUGS.NS,Aarti Drugs Limited,EQ,AARTIDRUGS,aartidrugs
AARTIIND.NS,Aarti Industries Limited,EQ,AARTIIND,aartiind
AARTIPHARM.NS,Aarti Pharmalabs Limited,EQ,AARTIPHARM,aartipharm
AARTISURF.NS,Aarti Surfactants Limited,EQ,AARTISURF,aartisurf
AARVEEDEN.NS,Aarvee Denims & Exports Limited,EQ,AARVEEDEN,aarveeden
AARVI.NS,Aarvi Encon Limited,EQ,AARVI,aarvi
AAVAS.NS,Aavas Financiers Limited,EQ,AAVAS,aavas
ABAN.NS,Aban Offshore Limited,EQ,ABAN,aban
ABB.NS,ABB India Limited,EQ,ABB,abb
ABBOTINDIA.NS,Abbott India Limited,EQ,ABBOTINDIA,abbotindia
ABCAPITAL.NS,Aditya Birla Capital Limited,EQ,ABCAPITAL,abcapital
ABFRL.NS,Aditya Birla Fashion and Retail Limited,EQ,ABFRL,abfrl
ABMINTLLTD.NS,ABM International Limited,BE,ABMINTLLTD,abmintlltd
ABSLAMC.NS,Aditya Birla Sun Life AMC Limited,EQ,ABSLAMC,abslamc
ACC.NS,ACC Limited,EQ,ACC,acc
ACCELYA.NS,Accelya Solutions India Limited,EQ,ACCELYA,accelya
ACCURACY.NS,Accuracy Shipping Limited,EQ,ACCURACY,accuracy
ACE.NS,Action Construction Equipment Limited,EQ,ACE,ace
ACEINTEG.NS,Ace Integrated Solutions Limited,BE,ACEINTEG,aceinteg
ACI.NS,Archean Chemical Industries Limited,EQ,ACI,aci
ADANIENT.NS,Adani Enterprises Limited,EQ,ADANIENT,adanient
ADANIGREEN.NS,Adani Green Energy Limited,EQ,ADANIGREEN,adanigreen
ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,EQ,ADANIPORTS,adaniports
ADANIPOWER.NS,Adani Power Limited,EQ,ADANIPOWER,adanipower
ADANITRANS.NS,Adani Transmission Limited,EQ,ADANITRANS,adanitrans
ADFFOODS.NS,ADF Foods Limited,EQ,ADFFOODS,adffoods
ADL.NS,Archidply Decor Limited,BE,ADL,adl
ADORWELD.NS,Ador Welding Limited,EQ,ADORWELD,adorweld
